date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:09	94848/94848	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Sep%202024%2014:48:07%20GMT	https://01297935000.sandbox.beedigitalweb.com/	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/index-2.html	(from )
16:48:09	291444/291444	---M--	200	added ('OK')	image/jpeg	etag:%221a558a8d71898753fd037f65ebfa4332%22	https://www.aunofacility.es/uploads/GlWKjXGJ/9317059_m.jpg	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/uploads/GlWKjXGJ/9317059_m.jpg	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:09	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Thu,%2019%20Sep%202024%2014:48:08%20GMT	https://01297935000.sandbox.beedigitalweb.com/uploads/j3TgLttu/favicon.ico	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/uploads/j3TgLttu/favicon.ico	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:10	30793/30793	---MCZ	200	added ('OK')	text/css	etag:W/%2266e93f87-7849%22	https://01297935000.sandbox.beedigitalweb.com/assets/css/grids.css?1726562130301	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/assets/css/grids4886.css	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:10	1724/1724	---MCZ	200	added ('OK')	text/css	etag:W/%2266e93f87-6bc%22	https://01297935000.sandbox.beedigitalweb.com/assets/css/hcaptcha.css?1726562130301	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/assets/css/hcaptcha4886.css	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:11	177483/177483	---MCZ	200	added ('OK')	text/css	etag:W/%2266e93f87-2b54b%22	https://01297935000.sandbox.beedigitalweb.com/assets/css/style.css?1726562130301	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/assets/css/style4886.css	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:11	241286/241286	---MCZ	200	added ('OK')	text/css	etag:W/%2266e93f87-3ae86%22	https://01297935000.sandbox.beedigitalweb.com/assets/css/external-libs.css?1726562130301	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/assets/css/external-libs4886.css	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:11	10201/10201	---MCZ	200	added ('OK')	text/css	etag:W/%2266e93f87-27d9%22	https://01297935000.sandbox.beedigitalweb.com/assets/css/ii/iframeStyle.css?1726562130301	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/assets/css/ii/iframeStyle4886.css	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:11	17390/17390	---M--	200	added ('OK')	image/png	etag:%227a55526ba28cb7f9fa656e940d6db92f%22	https://01297935000.sandbox.beedigitalweb.com/uploads/elVSa6KM/fondo-ondas__msi___png.png	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/uploads/elVSa6KM/fondo-ondas__msi___png.png	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:12	17351/17351	---M--	200	added ('OK')	image/png	etag:%22b0a4e0adc64c408a23098d6af7f36801%22	https://01297935000.sandbox.beedigitalweb.com/uploads/sKTgrcZM/22curvas31__msi___png.png	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/uploads/sKTgrcZM/22curvas31__msi___png.png	(from https://01297935000.sandbox.beedigitalweb.com/)
16:48:13	170958/170958	---M--	200	added ('OK')	image/png	etag:%223f8cd650308e20a1d6f1b2697f8e4b7f%22	https://01297935000.sandbox.beedigitalweb.com/uploads/P4zWUDCO/fondo6__msi___png.png	C:/Users/LuisCALABUIGHERNANDE/OneDrive%20-%20Odigo/Escritorio/WEB/01297935000.sandbox.beedigitalweb.com/01297935000.sandbox.beedigitalweb.com/uploads/P4zWUDCO/fondo6__msi___png.png	(from https://01297935000.sandbox.beedigitalweb.com/)
